ID,Year,Rank,Title,Artist,Source
201901,2019,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,https://genius.com/Lil-nas-x-old-town-road-remix-lyrics
201902,2019,2,Sunflower,Post Malone & Swae Lee,https://genius.com/Post-malone-and-swae-lee-sunflower-lyrics
201903,2019,3,Without Me,Halsey,https://genius.com/Halsey-without-me-lyrics
201904,2019,4,Bad Guy,Billie Eilish,https://genius.com/Billie-eilish-bad-guy-lyrics
201905,2019,5,Wow.,Post Malone,https://genius.com/Post-malone-wow-lyrics
201906,2019,6,Happier,Marshmello & Bastille,https://genius.com/Marshmello-and-bastille-happier-lyrics
201907,2019,7,7 Rings,Ariana Grande,https://genius.com/Ariana-grande-7-rings-lyrics
201908,2019,8,Talk,Khalid,https://genius.com/Khalid-talk-lyrics
201909,2019,9,Sicko Mode,Travis Scott,https://genius.com/Travis-scott-sicko-mode-lyrics
201910,2019,10,Sucker,Jonas Brothers,https://genius.com/Jonas-brothers-sucker-lyrics
201801,2018,1,God's Plan,Drake,https://genius.com/Drake-gods-plan-lyrics
201802,2018,2,Perfect,Ed Sheeran,https://genius.com/Ed-sheeran-perfect-lyrics
201803,2018,3,Meant To Be,Bebe Rexha & Florida Georgia Line,https://genius.com/Bebe-rexha-meant-to-be-lyrics
201804,2018,4,Havana,Camila Cabello Featuring Young Thug,https://genius.com/Camila-cabello-havana-lyrics
201805,2018,5,Rockstar,Post Malone Featuring 21 Savage,https://genius.com/Post-malone-rockstar-lyrics
201806,2018,6,Psycho,Post Malone Featuring Ty Dolla $ign,https://genius.com/Post-malone-psycho-lyrics
201807,2018,7,The Middle,"Zedd, Maren Morris & Grey",https://genius.com/Zedd-maren-morris-and-grey-the-middle-lyrics
201808,2018,8,In My Feelings,Drake,https://genius.com/Drake-in-my-feelings-lyrics
201809,2018,9,Girls Like You,Maroon 5 Featuring Cardi B,https://genius.com/Maroon-5-girls-like-you-remix-lyrics
201810,2018,10,Nice for What,Drake,https://genius.com/Drake-nice-for-what-lyrics
201701,2017,1,Shape Of You,Ed Sheeran,https://genius.com/Ed-sheeran-shape-of-you-lyrics
201702,2017,2,That's What I Like,Bruno Mars,https://genius.com/Bruno-mars-thats-what-i-like-lyrics
201703,2017,3,Humble.,Kendrick Lamar,https://genius.com/Kendrick-lamar-humble-lyrics
201704,2017,4,Something Just Like This,The Chainsmokers & Coldplay,https://genius.com/The-chainsmokers-and-coldplay-something-just-like-this-lyrics
201705,2017,5,Bad And Boujee,Migos Featuring Lil Uzi Vert,https://genius.com/Migos-bad-and-boujee-lyrics
201706,2017,6,Closer,The Chainsmokers Featuring Halsey,https://genius.com/The-chainsmokers-closer-lyrics
201707,2017,7,Body Like A Back Road,Sam Hunt,https://genius.com/Sam-hunt-body-like-a-back-road-lyrics
201708,2017,8,Believer,Imagine Dragons,https://genius.com/Imagine-dragons-believer-lyrics
201709,2017,9,Congratulations,Post Malone Featuring Quavo,https://genius.com/Post-malone-congratulations-lyrics
201710,2017,10,Say You Won't Let Go,James Arthur,https://genius.com/James-arthur-say-you-wont-let-go-lyrics
201601,2016,1,Love Yourself,Justin Bieber,https://genius.com/Justin-bieber-love-yourself-lyrics
201602,2016,2,Sorry,Justin Bieber,https://genius.com/Justin-bieber-sorry-lyrics
201603,2016,3,One Dance,Drake Featuring WizKid & Kyla,https://genius.com/Drake-one-dance-lyrics
201604,2016,4,Stressed Out,twenty one pilots,https://genius.com/Twenty-one-pilots-stressed-out-lyrics
201605,2016,5,Panda,Desiigner,https://genius.com/Desiigner-panda-lyrics
201606,2016,6,Hello,Adele,https://genius.com/Adele-hello-lyrics
201607,2016,7,Don't Let Me Down,The Chainsmokers Featuring Daya,https://genius.com/The-chainsmokers-dont-let-me-down-lyrics
201608,2016,8,Can't Stop The Feeling!,Justin Timberlake,https://genius.com/Justin-timberlake-cant-stop-the-feeling-lyrics
201609,2016,9,Closer,The Chainsmokers Featuring Halsey,https://genius.com/The-chainsmokers-closer-lyrics
201610,2016,10,Cheap Thrills,Sia featuring Sean Paul,https://genius.com/Sia-cheap-thrills-lyrics
201501,2015,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,https://genius.com/Mark-ronson-uptown-funk-lyrics
201502,2015,2,Thinking Out Loud,Ed Sheeran,https://genius.com/Ed-sheeran-thinking-out-loud-lyrics
201503,2015,3,See You Again,Wiz Khalifa Featuring Charlie Puth,https://genius.com/Wiz-khalifa-see-you-again-lyrics
201504,2015,4,Trap Queen,Fetty Wap,https://genius.com/Fetty-wap-trap-queen-lyrics
201505,2015,5,Sugar,Maroon 5,https://genius.com/Maroon-5-sugar-lyrics
201506,2015,6,Shut Up And Dance,WALK THE MOON,https://genius.com/Walk-the-moon-shut-up-and-dance-lyrics
201507,2015,7,Blank Space,Taylor Swift,https://genius.com/Taylor-swift-blank-space-lyrics
201508,2015,8,Watch Me,Silento,https://genius.com/Silento-watch-me-whip-nae-nae-lyrics
201509,2015,9,Earned It,The Weeknd,https://genius.com/The-weeknd-earned-it-lyrics
201510,2015,10,Cheerleader (Felix Jaehn Remix),OMI,https://genius.com/Omi-cheerleader-felix-jaehn-remix-lyrics
201401,2014,1,Happy,Pharrell Williams,https://genius.com/Pharrell-williams-happy-lyrics
201402,2014,2,Dark Horse,Katy Perry Featuring Juicy J,https://genius.com/Katy-perry-dark-horse-lyrics
201403,2014,3,All Of Me,John Legend,https://genius.com/John-legend-all-of-me-lyrics
201404,2014,4,Fancy,Iggy Azalea Featuring Charli XCX,https://genius.com/Iggy-azalea-fancy-lyrics
201405,2014,5,Counting Stars,OneRepublic,https://genius.com/Onerepublic-counting-stars-lyrics
201406,2014,6,Talk Dirty,Jason Derulo Featuring 2 Chainz,https://genius.com/Jason-derulo-talk-dirty-lyrics
201407,2014,7,Rude,MAGIC!,https://genius.com/Magic-rude-lyrics
201408,2014,8,All About That Bass,Meghan Trainor,https://genius.com/Meghan-trainor-all-about-that-bass-lyrics
201409,2014,9,Problem,Ariana Grande Featuring Iggy Azalea,https://genius.com/Ariana-grande-problem-lyrics
201410,2014,10,Stay With Me,Sam Smith,https://genius.com/Sam-smith-stay-with-me-lyrics
201301,2013,1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,https://genius.com/Macklemore-and-ryan-lewis-thrift-shop-lyrics
201302,2013,2,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,https://genius.com/Robin-thicke-blurred-lines-lyrics
201303,2013,3,Radioactive,Imagine Dragons,https://genius.com/Imagine-dragons-radioactive-lyrics
201304,2013,4,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,https://genius.com/Macklemore-and-ryan-lewis-cant-hold-us-lyrics
201305,2013,5,Mirrors,Justin Timberlake,https://genius.com/Justin-timberlake-mirrors-lyrics
201306,2013,6,Just Give Me A Reason,P!nk Featuring Nate Ruess,https://genius.com/P-nk-just-give-me-a-reason-lyrics
201307,2013,7,When I Was Your Man,Bruno Mars,https://genius.com/Bruno-mars-when-i-was-your-man-lyrics
201308,2013,8,Cruise,Florida Georgia Line Featuring Nelly,https://genius.com/Florida-georgia-line-cruise-remix-lyrics
201309,2013,9,Roar,Katy Perry,https://genius.com/Katy-perry-roar-lyrics
201310,2013,10,Locked Out of Heaven,Bruno Mars,https://genius.com/Bruno-mars-locked-out-of-heaven-lyrics
201201,2012,1,Somebody That I Used To Know,Gotye Featuring Kimbra,https://genius.com/Gotye-somebody-that-i-used-to-know-lyrics
201202,2012,2,Call Me Maybe,Carly Rae Jepsen,https://genius.com/Carly-rae-jepsen-call-me-maybe-lyrics
201203,2012,3,We Are Young,fun. Featuring Janelle Monae,https://genius.com/Fun-we-are-young-lyrics
201204,2012,4,Payphone,Maroon 5 Featuring Wiz Khalifa,https://genius.com/Maroon-5-payphone-lyrics
201205,2012,5,Lights,Ellie Goulding,https://genius.com/Ellie-goulding-lights-lyrics
201206,2012,6,Glad You Came,The Wanted,https://genius.com/The-wanted-glad-you-came-lyrics
201207,2012,7,Stronger (What Doesn't Kill You),Kelly Clarkson,https://genius.com/Kelly-clarkson-stronger-what-doesnt-kill-you-lyrics
201208,2012,8,We Found Love,Rihanna Featuring Calvin Harris,https://genius.com/Rihanna-we-found-love-lyrics
201209,2012,9,Starships,Nicki Minaj,https://genius.com/Nicki-minaj-starships-lyrics
201210,2012,10,What Makes You Beautiful,One Direction,https://genius.com/One-direction-what-makes-you-beautiful-lyrics
201101,2011,1,Rolling In The Deep,Adele,https://genius.com/Adele-rolling-in-the-deep-lyrics
201102,2011,2,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,https://genius.com/Lmfao-party-rock-anthem-lyrics
201103,2011,3,Firework,Katy Perry,https://genius.com/Katy-perry-firework-lyrics
201104,2011,4,E.T.,Katy Perry Featuring Kanye West,https://genius.com/Katy-perry-et-remix-lyrics
201105,2011,5,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",https://genius.com/Pitbull-give-me-everything-lyrics
201106,2011,6,Grenade,Bruno Mars,https://genius.com/Bruno-mars-grenade-lyrics
201107,2011,7,F**K You (Forget You),CeeLo Green,https://genius.com/Ceelo-green-fuck-you-lyrics
201108,2011,8,Super Bass,Nicki Minaj,https://genius.com/Nicki-minaj-super-bass-lyrics
201109,2011,9,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,https://genius.com/Maroon-5-moves-like-jagger-lyrics
201110,2011,10,Just Can't Get Enough,The Black Eyed Peas,https://genius.com/Black-eyed-peas-just-cant-get-enough-lyrics
201001,2010,1,TiK ToK,Ke$ha,https://genius.com/Kesha-tik-tok-lyrics
201002,2010,2,Need You Now,Lady Antebellum,https://genius.com/Lady-a-need-you-now-lyrics
201003,2010,3,"Hey, Soul Sister",Train,https://genius.com/Train-hey-soul-sister-lyrics
201004,2010,4,California Gurls,Katy Perry Featuring Snoop Dogg,https://genius.com/Katy-perry-california-gurls-lyrics
201005,2010,5,OMG,Usher Featuring will.i.am,https://genius.com/Usher-omg-lyrics
201006,2010,6,Airplanes,B.o.B Featuring Hayley Williams,https://genius.com/Bob-airplanes-lyrics
201007,2010,7,Love The Way You Lie,Eminem Featuring Rihanna,https://genius.com/Eminem-love-the-way-you-lie-lyrics
201008,2010,8,Bad Romance,Lady Gaga,https://genius.com/Lady-gaga-bad-romance-lyrics
201009,2010,9,Dynamite,Taio Cruz,https://genius.com/Taio-cruz-dynamite-lyrics
201010,2010,10,Break Your Heart,Taio Cruz Featuring Ludacris,https://genius.com/Taio-cruz-break-your-heart-remix-lyrics
200901,2009,1,Boom Boom Pow,The Black Eyed Peas,https://genius.com/Black-eyed-peas-boom-boom-pow-lyrics
200902,2009,2,Poker Face,Lady Gaga,https://genius.com/Lady-gaga-poker-face-lyrics
200903,2009,3,Just Dance,Lady Gaga Featuring Colby O'Donis,https://genius.com/Lady-gaga-just-dance-lyrics
200904,2009,4,I Gotta Feeling,The Black Eyed Peas,https://genius.com/Black-eyed-peas-i-gotta-feeling-lyrics
200905,2009,5,Love Story,Taylor Swift,https://genius.com/Taylor-swift-love-story-lyrics
200906,2009,6,Right Round,Flo Rida,https://genius.com/Flo-rida-right-round-lyrics
200907,2009,7,I'm Yours,Jason Mraz,https://genius.com/Jason-mraz-im-yours-lyrics
200908,2009,8,Single Ladies (Put A Ring On It),Beyonce,https://genius.com/Beyonce-single-ladies-put-a-ring-on-it-lyrics
200909,2009,9,Heartless,Kanye West,https://genius.com/Kanye-west-heartless-lyrics
200910,2009,10,Gives You Hell,The All-American Rejects,https://genius.com/The-all-american-rejects-gives-you-hell-lyrics
200801,2008,1,Low,Flo Rida Featuring T-Pain,https://genius.com/Flo-rida-low-lyrics
200802,2008,2,Bleeding Love,Leona Lewis,https://genius.com/Leona-lewis-bleeding-love-lyrics
200803,2008,3,No One,Alicia Keys,https://genius.com/Alicia-keys-no-one-lyrics
200804,2008,4,Lollipop,Lil Wayne Featuring Static Major,https://genius.com/Lil-wayne-lollipop-lyrics
200805,2008,5,Apologize,Timbaland Featuring OneRepublic,https://genius.com/Timbaland-apologize-lyrics
200806,2008,6,No Air,Jordin Sparks & Chris Brown,https://genius.com/Jordin-sparks-no-air-lyrics
200807,2008,7,Love Song,Sara Bareilles,https://genius.com/Sara-bareilles-love-song-lyrics
200808,2008,8,Love In This Club,Usher Featuring Young Jeezy,https://genius.com/Usher-love-in-this-club-lyrics
200809,2008,9,With You,Chris Brown,https://genius.com/Chris-brown-with-you-lyrics
200810,2008,10,Forever,Chris Brown,https://genius.com/Chris-brown-forever-lyrics
200701,2007,1,Irreplaceable,Beyonce,https://genius.com/Beyonce-irreplaceable-lyrics
200702,2007,2,Umbrella,Rihanna Featuring Jay-Z,https://genius.com/Rihanna-umbrella-lyrics
200703,2007,3,The Sweet Escape,Gwen Stefani Featuring Akon,https://genius.com/Gwen-stefani-the-sweet-escape-lyrics
200704,2007,4,Big Girls Don't Cry,Fergie,https://genius.com/Fergie-big-girls-dont-cry-personal-lyrics
200705,2007,5,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,https://genius.com/T-pain-buy-u-a-drank-shawty-snappin-lyrics
200706,2007,6,Before He Cheats,Carrie Underwood,https://genius.com/Carrie-underwood-before-he-cheats-lyrics
200707,2007,7,Hey There Delilah,Plain White T's,https://genius.com/Plain-white-ts-hey-there-delilah-lyrics
200708,2007,8,I Wanna Love You,Akon Featuring Snoop Dogg,https://genius.com/Akon-i-wanna-love-you-lyrics
200709,2007,9,Say It Right,Nelly Furtado,https://genius.com/Nelly-furtado-say-it-right-lyrics
200710,2007,10,Glamorous,Fergie Featuring Ludacris,https://genius.com/Fergie-glamorous-lyrics
200601,2006,1,Bad Day,Daniel Powter,https://genius.com/Daniel-powter-bad-day-lyrics
200602,2006,2,Promiscuous,Nelly Furtado Featuring Timbaland,https://genius.com/Nelly-furtado-promiscuous-lyrics
200603,2006,3,You're Beautiful,James Blunt,https://genius.com/James-blunt-youre-beautiful-lyrics
200604,2006,4,Unwritten,Natasha Bedingfield,https://genius.com/Natasha-bedingfield-unwritten-lyrics
200605,2006,5,Crazy,Gnarls Barkley,https://genius.com/Gnarls-barkley-crazy-lyrics
200606,2006,6,Ridin',Chamillionaire Featuring Krayzie Bone,https://genius.com/Chamillionaire-ridin-lyrics
200607,2006,7,SexyBack,Justin Timberlake,https://genius.com/Justin-timberlake-sexyback-lyrics
200608,2006,8,Check On It,Beyonce Featuring Slim Thug,https://genius.com/Beyonce-check-on-it-lp-version-lyrics
200609,2006,9,Be Without You,Mary J. Blige,https://genius.com/Mary-j-blige-be-without-you-lyrics
200610,2006,10,Grillz,"Nelly, Paul Wall and Ali & Gipp",https://genius.com/Nelly-grillz-lyrics
200501,2005,1,We Belong Together,Mariah Carey,https://genius.com/Mariah-carey-we-belong-together-lyrics
200502,2005,2,Hollaback Girl,Gwen Stefani,https://genius.com/Gwen-stefani-hollaback-girl-lyrics
200503,2005,3,Let Me Love You,Mario,https://genius.com/Mario-let-me-love-you-lyrics
200504,2005,4,Since U Been Gone,Kelly Clarkson,https://genius.com/Kelly-clarkson-since-u-been-gone-lyrics
200505,2005,5,"1, 2 Step",Ciara featuring Missy Elliott,https://genius.com/Ciara-1-2-step-lyrics
200506,2005,6,Gold Digger,Kanye West featuring Jamie Foxx,https://genius.com/Kanye-west-gold-digger-lyrics
200507,2005,7,Boulevard of Broken Dreams,Green Day,https://genius.com/Green-day-boulevard-of-broken-dreams-lyrics
200508,2005,8,Candy Shop,50 Cent featuring Olivia,https://genius.com/50-cent-candy-shop-lyrics
200509,2005,9,Don't Cha,The Pussycat Dolls featuring Busta Rhymes,https://genius.com/The-pussycat-dolls-dont-cha-lyrics
200510,2005,10,Behind These Hazel Eyes,Kelly Clarkson,https://genius.com/Kelly-clarkson-behind-these-hazel-eyes-lyrics
200401,2004,1,Yeah!,Usher featuring Lil Jon and Ludacris,https://genius.com/Usher-yeah-lyrics
200402,2004,2,Burn,Usher,https://genius.com/Usher-burn-lyrics
200403,2004,3,If I Ain't Got You,Alicia Keys,https://genius.com/Alicia-keys-if-i-aint-got-you-lyrics
200404,2004,4,This Love,Maroon 5,https://genius.com/Maroon-5-this-love-lyrics
200405,2004,5,The Way You Move,OutKast featuring Sleepy Brown,https://genius.com/Outkast-the-way-you-move-lyrics
200406,2004,6,The Reason,Hoobastank,https://genius.com/Hoobastank-the-reason-lyrics
200407,2004,7,I Don't Wanna Know,Mario Winans featuring Enya and P. Diddy,https://genius.com/Mario-winans-i-dont-wanna-know-lyrics
200408,2004,8,Hey Ya!,OutKast,https://genius.com/Outkast-hey-ya-lyrics
200409,2004,9,Goodies,Ciara featuring Petey Pablo,https://genius.com/Ciara-goodies-lyrics
200410,2004,10,Lean Back,Terror Squad featuring Fat Joe and Remy Ma,https://genius.com/Terror-squad-lean-back-lyrics
200301,2003,1,In da Club,50 Cent,https://genius.com/50-cent-in-da-club-lyrics
200302,2003,2,Ignition,R. Kelly,https://genius.com/R-kelly-ignition-remix-lyrics
200303,2003,3,Crazy in Love,Beyoncé featuring Jay-Z,https://genius.com/Beyonce-crazy-in-love-lyrics
200304,2003,4,When I'm Gone,3 Doors Down,https://genius.com/3-doors-down-when-im-gone-lyrics
200305,2003,5,Unwell,Matchbox Twenty,https://genius.com/Matchbox-twenty-unwell-lyrics
200306,2003,6,Right Thurr,Chingy,https://genius.com/Chingy-right-thurr-lyrics
200307,2003,7,Miss You,Aaliyah,https://genius.com/Aaliyah-miss-you-lyrics
200308,2003,8,Picture,Kid Rock featuring Sheryl Crow,https://genius.com/Kid-rock-picture-lyrics
200309,2003,9,Bring Me to Life,Evanescence featuring Paul McCoy,https://genius.com/Evanescence-bring-me-to-life-lyrics
200310,2003,10,Get Low,Lil Jon & The East Side Boyz featuring Ying Yang Twins,https://genius.com/Lil-jon-and-the-east-side-boyz-get-low-lyrics
200201,2002,1,How You Remind Me,Nickelback,https://genius.com/Nickelback-how-you-remind-me-lyrics
